sample	protein	length	hits	self	close	distal	match
GUT_GENOME254573	GUT_GENOME254573_00001	117	0	0	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00002	134	0	0	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00003	526	42	12.6822	12.874	0.534884	523846
GUT_GENOME254573	GUT_GENOME254573_00004	243	6	4.16497	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00005	88	2	1.99419	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00006	386	209	16.1208	17.9708	100.838	28890
GUT_GENOME254573	GUT_GENOME254573_00007	345	329	15.5391	18.9335	175.449	2283794
GUT_GENOME254573	GUT_GENOME254573_00010	475	6	4.25926	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00011	476	7	4.81473	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00012	220	15	10.2809	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00013	659	54	13.7594	14.1745	4.66641	523846
GUT_GENOME254573	GUT_GENOME254573_00014	352	2	1.89165	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00015	407	17	11.5945	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00016	543	3	2.14627	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00017	102	2	1.9064	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00018	593	44	13.9259	16.3161	0.614286	523846
GUT_GENOME254573	GUT_GENOME254573_00019	236	360	14.3283	16.1913	159.248	523846
GUT_GENOME254573	GUT_GENOME254573_00020	214	100	14.7303	15.3618	31.8854	523846
GUT_GENOME254573	GUT_GENOME254573_00021	88	5	4.75843	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00022	243	147	12.7393	12.5534	52.0876	28890
GUT_GENOME254573	GUT_GENOME254573_00023	261	2	1.65549	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00024	69	0	0	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00025	246	1	0.987879	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00026	427	1	0.987981	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00027	149	2	1.94	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00028	347	4	3.0407	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00029	277	5	3.76207	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00030	431	2	1.95776	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00031	231	5	3.70678	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00032	137	1	0.679245	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00033	48	0	0	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00034	321	9	4.85313	1.04688	0	0
GUT_GENOME254573	GUT_GENOME254573_00035	349	468	1.97122	0.684892	279.512	131567
GUT_GENOME254573	GUT_GENOME254573_00036	465	2	1.91304	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00037	276	14	1.95292	0.561205	5.47269	131567
GUT_GENOME254573	GUT_GENOME254573_00038	383	367	1.95128	0.680769	181.682	2
GUT_GENOME254573	GUT_GENOME254573_00039	331	454	0.993976	0.743976	273.893	2
GUT_GENOME254573	GUT_GENOME254573_00040	4965	1	0.86191	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00041	496	12	7.89752	1.05072	0	0
GUT_GENOME254573	GUT_GENOME254573_00042	498	12	8.14345	1.04438	0	0
GUT_GENOME254573	GUT_GENOME254573_00043	428	71	9.09776	0.912839	30.1249	2
GUT_GENOME254573	GUT_GENOME254573_00044	220	2	1.97862	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00045	320	5	3.09621	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00046	287	3	2.44034	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00047	438	120	2.71461	0	66.3625	2
GUT_GENOME254573	GUT_GENOME254573_00048	358	94	2.84691	0	48.4831	2
GUT_GENOME254573	GUT_GENOME254573_00049	346	3	2.6804	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00050	239	1	0.990909	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00051	128	2	1.85944	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00052	52	0	0	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00053	265	1	0.945591	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00054	290	1	0.959044	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00055	163	1	0.975232	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00056	115	1	1	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00057	77	0	0	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00058	125	1	0.99177	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00059	107	0	0	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00060	340	2	1.97015	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00061	49	0	0	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00062	257	18	10.7812	0.482422	0	0
GUT_GENOME254573	GUT_GENOME254573_00063	367	6	5.06667	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00064	364	353	5.23467	0	175.387	1239
GUT_GENOME254573	GUT_GENOME254573_00065	89	1	0.994118	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00066	473	30	11.6523	5.61117	0.477345	523846
GUT_GENOME254573	GUT_GENOME254573_00067	267	24	11.6094	4.14844	0	0
GUT_GENOME254573	GUT_GENOME254573_00068	429	471	11.4029	9.01809	240.642	131567
GUT_GENOME254573	GUT_GENOME254573_00069	444	2	1.89258	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00070	227	31	12.0213	7.8145	0	0
GUT_GENOME254573	GUT_GENOME254573_00071	161	2	1.72671	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00072	213	6	4.73923	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00073	134	6	4.70342	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00074	339	192	13.872	13.032	88.4817	523846
GUT_GENOME254573	GUT_GENOME254573_00075	161	2	1.91197	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00076	947	9	4.76405	1.03061	0	0
GUT_GENOME254573	GUT_GENOME254573_00077	206	12	3.98103	4.03523	0	0
GUT_GENOME254573	GUT_GENOME254573_00078	165	4	3.11821	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00079	125	18	14.3431	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00080	128	2	1.91304	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00081	384	2	1.87914	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00082	312	16	1.92928	8.17434	0	0
GUT_GENOME254573	GUT_GENOME254573_00083	115	3	2.84362	0	0	0
GUT_GENOME254573	GUT_GENOME254573_00084	227	56	12.6059	11.5308	8.44875	523846
