sample	protein	length	hits	self	close	distal	match
GUT_GENOME007534	GUT_GENOME007534_00001	137	115	1	0	79.5349	1783272
GUT_GENOME007534	GUT_GENOME007534_00002	469	33	1	2.56408	13.8267	2022711
GUT_GENOME007534	GUT_GENOME007534_00003	218	22	1	1.27438	8.85034	28890
GUT_GENOME007534	GUT_GENOME007534_00004	313	463	1	3.15954	277.914	2157
GUT_GENOME007534	GUT_GENOME007534_00005	338	2	1	0.543964	0	0
GUT_GENOME007534	GUT_GENOME007534_00006	462	2	1	0.477024	0	0
GUT_GENOME007534	GUT_GENOME007534_00007	257	2	1	0.634298	0	0
GUT_GENOME007534	GUT_GENOME007534_00008	244	124	1	1.20638	58.9745	2157
GUT_GENOME007534	GUT_GENOME007534_00009	196	32	1	0.710594	15.5452	28890
GUT_GENOME007534	GUT_GENOME007534_00010	261	2	0.986248	0.532417	0	0
GUT_GENOME007534	GUT_GENOME007534_00011	249	1	0.981132	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00012	84	0	0	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00013	271	1	0.998227	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00014	369	454	1	0.861073	267.16	2
GUT_GENOME007534	GUT_GENOME007534_00015	699	2	1	0.602864	0	0
GUT_GENOME007534	GUT_GENOME007534_00016	327	2	1	0.513557	0	0
GUT_GENOME007534	GUT_GENOME007534_00017	101	1	0.989474	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00018	149	1	1	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00019	245	1	0.851775	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00020	129	1	1	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00021	722	5	1	2.11864	0	0
GUT_GENOME007534	GUT_GENOME007534_00022	145	2	1	0.59322	0	0
GUT_GENOME007534	GUT_GENOME007534_00023	365	2	1	0.47676	0	0
GUT_GENOME007534	GUT_GENOME007534_00024	368	4	1	0.738331	1.03395	2478471
GUT_GENOME007534	GUT_GENOME007534_00025	211	2	1	0.536765	0	0
GUT_GENOME007534	GUT_GENOME007534_00026	278	1	1	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00027	375	2	0.998621	0.568276	0	0
GUT_GENOME007534	GUT_GENOME007534_00028	331	2	1	0.599684	0	0
GUT_GENOME007534	GUT_GENOME007534_00029	397	2	0.980149	0.627792	0	0
GUT_GENOME007534	GUT_GENOME007534_00030	359	25	1	2.40578	8.59697	131567
GUT_GENOME007534	GUT_GENOME007534_00031	1070	440	0.999519	2.23688	239.13	131567
GUT_GENOME007534	GUT_GENOME007534_00032	47	0	0	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00033	133	152	0.870504	0	106.255	131567
GUT_GENOME007534	GUT_GENOME007534_00034	166	2	0.996894	0.673913	0	0
GUT_GENOME007534	GUT_GENOME007534_00035	40	0	0	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00036	1312	1	0.999581	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00037	413	45	1	2.13647	16.0169	131567
GUT_GENOME007534	GUT_GENOME007534_00038	794	1	0.998565	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00039	375	1	1	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00040	506	2	1	0.648073	0	0
GUT_GENOME007534	GUT_GENOME007534_00041	109	1	1	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00042	323	2	1	0.570093	0	0
GUT_GENOME007534	GUT_GENOME007534_00043	539	148	0.997209	2.50977	72.7116	28890
GUT_GENOME007534	GUT_GENOME007534_00044	200	159	0.994859	3.21337	87.2468	28890
GUT_GENOME007534	GUT_GENOME007534_00045	187	1	0.965054	0	0	0
GUT_GENOME007534	GUT_GENOME007534_00046	536	2	0.990458	0.539122	0	0
GUT_GENOME007534	GUT_GENOME007534_00047	141	2	0.98951	0.63986	0	0
GUT_GENOME007534	GUT_GENOME007534_00048	146	48	0.993333	2.61	25.2967	28890
GUT_GENOME007534	GUT_GENOME007534_00049	410	164	0.9975	2.81375	100.676	28890
GUT_GENOME007534	GUT_GENOME007534_00050	184	2	1	0.646575	0	0
GUT_GENOME007534	GUT_GENOME007534_00051	309	6	1	2.4874	0.477311	2933293
GUT_GENOME007534	GUT_GENOME007534_00052	185	1	1	0	0	0
