sample	protein	length	hits	self	close	distal	match
GUT_GENOME091533	GUT_GENOME091533_00001	1580	0	0	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00002	267	1	0.740331	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00003	257	447	10.6541	0	265.27	2
GUT_GENOME091533	GUT_GENOME091533_00004	593	435	7.07935	0	214.047	1783272
GUT_GENOME091533	GUT_GENOME091533_00005	258	444	8.43933	0	245.075	2
GUT_GENOME091533	GUT_GENOME091533_00006	335	454	10.0483	0	279.726	2
GUT_GENOME091533	GUT_GENOME091533_00007	193	449	9.33079	0	263.221	131567
GUT_GENOME091533	GUT_GENOME091533_00008	502	459	10.0588	0	273.055	1783272
GUT_GENOME091533	GUT_GENOME091533_00009	144	2	1.69057	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00010	248	2	1.88717	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00011	242	2	1.8382	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00012	67	0	0	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00013	450	129	15.1416	13.3012	49.2695	2283794
GUT_GENOME091533	GUT_GENOME091533_00014	283	2	1.9165	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00015	815	31	12.4841	5.67466	0.997408	131567
GUT_GENOME091533	GUT_GENOME091533_00016	407	18	10.3171	0.934146	0	0
GUT_GENOME091533	GUT_GENOME091533_00017	129	18	13.3686	1.32157	0	0
GUT_GENOME091533	GUT_GENOME091533_00018	420	42	14.3937	13.6341	0.571256	523846
GUT_GENOME091533	GUT_GENOME091533_00020	143	2	1.90775	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00021	454	92	12.8776	14.4138	25.7483	523846
GUT_GENOME091533	GUT_GENOME091533_00022	198	50	11.8631	10.8411	7.76528	131567
GUT_GENOME091533	GUT_GENOME091533_00023	355	55	14.244	15.6511	6.52624	523846
GUT_GENOME091533	GUT_GENOME091533_00024	315	2	1.57479	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00025	132	3	2.62642	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00026	58	0	0	0	0	0
GUT_GENOME091533	GUT_GENOME091533_00027	396	223	15.0231	16.5707	93.2198	523846
GUT_GENOME091533	GUT_GENOME091533_00028	274	17	7.26212	3.14363	0	0
